Location,PH,Zn,Mn,Fe,Cu,Ca,Mg,K,Na,Ec,Voltage,Infrared,Moisuture,I_V,M_V
Akkarai Beach,6.85,0.31,1.61,6.56,0.08,456,179,122,937,8.1,177.24,617,956,3.015640274,4.672531769
Emerald Beach,7.75,0.19,1.86,4.03,0.08,387,259,97,2329,6.2,200,332,508,1.622678397,2.482893451
Uthandi Beach,8,0.36,2.47,18.34,0.12,504,349,151,2331,9.4,293.04,216,260,1.055718475,1.270772239
Kovalam Beach,8.2,0.2,1.31,3.61,0.07,375,235,106,2348,7.8,158.4,314,430,1.534701857,2.101661779 
Nemmeli Beach,7.04,0.22,1.71,4.62,0.08,361,174,84,983,5.6,142.56,280,368,1.368523949,1.798631476
Mahabalipuram Beach,6.82,0.21,1.57,3.17,0.06,484,184,79,843,4.95,110.88,440,644,2.150537634,3.147605083
Kalpakkam Beach,7.4,0.19,1.33,3.87,0.08,486,328,134,2703,8.26,194.04,180,220,0.879765396,1.075268817
Kadalur Beach,7.2,0.19,1.74,3.68,0.06,371,188,82,818,5.2,182.16,260,320,1.270772239,1.56402737
Vadapattinam Beach,7.8,0.18,2.14,3.88,0.06,444,227,99,2613,6.8,122.76,203,206,0.992179863,1.00684262
Perunthuravu Beach,7,0.17,1.62,2.98,0.05,364,167,80,929,4.66,146.52,209,262,1.021505376,1.28054741
